,ID,region,field,M05_age_opt,M05_AV_opt,M13_age_opt,M13_AV_opt,BC_age_opt,BC_AV_opt,x2_spectra_M05_opt,x2_photo_M05_opt,x2_spectra_M13_opt,x2_photo_M13_opt,x2_spectra_BC_opt,x2_photo_BC_opt,M05_age_MCMC50,M05_age_std,M05_AV_MCMC50,M05_AV_std,M13_age_MCMC50,M13_age_std,M13_AV_MCMC50,M13_AV_std,BC_age_MCMC50,BC_age_std,BC_AV_MCMC50,BC_AV_std,x2_spectra_M05_MCMC50,x2_photo_M05_MCMC50,x2_spectra_M13_MCMC50,x2_photo_M13_MCMC50,x2_spectra_BC_MCMC50,x2_photo_BC_MCMC50,x2_M05_opt,x2_M13_opt,x2_BC_opt,x2_M05_MCMC50,x2_M13_MCMC50,x2_BC_MCMC50,min_2,model,min_spec_chi2,model_spec,grism_index,grism_index_AV_corr,age_opt,age_opt_std,AV_opt,AV_opt_std,M_K,BC_ML,BC_mass,M05_ML,M05_mass,M13_mass,best_mass,radius,use_phot,z_best,z_type,z_spec,u,g,r,i,z,U,V,J,H,B,K,Mr,color,FAST_mass,SFR,sSFR,ltau,SNR_F160W,SNR_F140W,SNR_F125W,SNR_F606W,F160W_mag,F140W_mag,F125W_mag,F606W_mag,SNR1,SNR2,flux_ratio_AV_corr,flux_ratio_AV_corr_2,flux_ratio_err_AV_corr,model_ratio,model_ratio_unattenuated,model_ratio_smoothed,model_ratio_smoothed_unattenuated,fig_name,FWHM,ratio_err
59,32850,20,uds,1.1834,0.1790,0.9500,0.5831,1.6900,0.4488,2.1413,0.3732,2.4798,0.9802,2.1682,1.5869,1.3943,0.4927,0.2143,0.1025,1.0102,0.4473,0.6348,0.2698,1.6104,0.7400,0.4360,0.3611,2.0475,0.8824,2.1339,1.2520,2.3260,1.5250,0.5776,0.9066,1.1092,0.7802,0.9573,1.1130,0.5776,1,2.0475,1,1.1802,1.1868,1.1834,0.4927,0.1790,0.1025,-21.1321,0.3697,11288333812.9734,0.1874,5723718129.4890,5723718129.4890,5723718129.4890,5.1440,1.0000,0.4288,1.0000,0.4288,23.3865,21.9592,21.3192,20.9984,20.6878,23.3056,21.5886,20.3228,20.0724,22.2080,20.4948,-20.1608,2.0672,9.9600,-1.1300,-11.0900,8.6000,220.8080,299.1409,462.2452,246.6342,20.4634,20.5550,20.7276,22.4297,32.1634,23.9550,1.1853,1.1856,0.0219,1.2016,1.2084,1.1898,1.1964,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_20_32850_2D.pdf,5.5600,0.0219
61,12505,28,uds,1.1800,0.3246,0.9981,0.7541,2.8750,0.2251,2.9223,0.6036,1.8911,1.1966,2.3873,2.6798,1.3380,0.5137,0.3566,0.0857,0.9571,0.5519,0.7971,0.3657,2.5734,1.2615,0.3054,0.1930,2.6965,0.9727,2.8464,1.3472,2.7924,2.1150,0.8292,0.8861,1.6256,0.9454,1.1369,1.4594,0.8292,1,1.8911,2,1.0995,1.1105,1.1800,0.5137,0.3246,0.0857,-21.8515,0.4178,24748070475.8309,0.1874,11102541586.1677,19504405576.9920,19504405576.9920,4.5120,1.0000,0.3336,1.0000,0.3336,23.0879,21.6083,20.8970,20.5504,20.2624,23.0168,21.1694,19.8449,19.5778,21.8784,19.9010,-20.0130,2.1908,10.0100,-1.2700,-11.2800,8.8000,301.2543,550.2564,544.2200,576.2156,19.9264,20.0211,20.1894,21.7925,32.6141,42.0511,1.1091,1.1091,0.0111,1.1964,1.2085,1.1860,1.1979,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_uds_28_12505_2D.pdf,6.3400,0.0111
1,14044,2,aegis,0.6000,0.5118,0.9977,0.8260,1.6081,0.7043,7.8172,1.2468,5.7333,2.8358,4.9771,3.6870,0.3633,0.2782,0.7736,0.4474,0.6468,0.5053,1.0787,0.4161,1.7575,0.7345,0.6152,0.3628,6.9918,3.8325,6.3243,1.5399,7.5657,3.4966,2.0586,2.3430,2.5653,3.0196,1.8958,2.9854,1.8958,2,4.9771,3,1.0994,1.1140,0.6468,0.5053,1.0787,0.4161,-23.8519,0.3183,119005569362.6480,0.1874,70078274107.3898,123110106791.1380,123110106791.1380,9.9350,1.0000,0.4360,1.0000,0.4616,21.6880,20.2066,19.4929,19.2018,18.8695,21.6147,19.7625,18.4193,18.2069,20.4894,18.4565,-22.0171,2.1950,10.7700,0.2300,-10.5400,8.6000,717.6717,2231.5792,2415.4950,621.6536,18.5769,18.7163,18.8954,20.7327,79.0818,97.7495,1.1543,1.1544,0.0157,1.1312,1.1608,1.1092,1.1383,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_2_14044_2D.pdf,5.8500,0.0157
2,19820,3,aegis,2.5990,0.6730,1.0226,1.0445,1.4144,1.0373,8.8097,2.5495,8.6711,0.7305,8.8511,1.1427,3.3941,1.1428,0.6418,0.0595,0.8855,0.5132,1.1365,0.3498,1.5235,0.7322,0.9254,0.4110,9.8489,3.0676,8.9902,0.5501,16.2475,1.0336,2.8162,2.0005,2.2142,3.2427,1.9842,3.6031,1.9842,2,8.6711,2,1.0987,1.1219,0.8855,0.5132,1.1365,0.3498,-24.1206,0.3183,152424235536.0510,0.1874,89757373673.4490,157681392685.2280,157681392685.2280,8.0460,1.0000,0.4197,2.0000,-1.0000,21.9599,20.2915,19.4765,19.0831,18.7436,21.8907,19.8093,18.2608,17.9702,20.6104,18.3125,-21.9535,2.4834,10.6900,-0.7200,-11.4100,8.2000,961.3335,1998.2216,2748.0837,754.9704,18.4488,18.6136,18.8262,20.8114,94.0329,115.4853,1.1377,1.1377,0.0129,1.1227,1.1599,1.1011,1.1377,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_3_19820_2D.pdf,7.8200,0.0129
6,10415,15,aegis,2.2256,0.2318,1.0214,0.5953,0.5709,1.1924,1.6981,1.4441,2.0224,0.6665,2.0954,0.6586,2.5549,1.0677,0.2300,0.0562,0.8972,0.5364,0.6625,0.3629,0.6090,0.2697,1.1882,0.2862,1.7665,1.8229,2.4439,0.5531,2.2947,0.8895,0.9560,0.6817,0.6925,1.1335,0.7144,0.8313,0.6817,2,1.6981,1,1.1037,1.1118,1.0214,0.5364,0.5953,0.3629,-21.3996,0.3183,12435936378.3679,0.1874,7323093893.6112,12864855517.1670,12864855517.1670,5.7320,1.0000,0.2479,1.0000,0.2522,22.5390,21.0566,20.3635,20.0628,19.7878,22.4602,20.6389,19.3513,19.1382,21.3346,19.4237,-19.8765,2.1755,9.7500,-0.6000,-10.3500,8.4000,722.1150,1549.6423,1826.4277,833.4250,19.3661,19.4660,19.5994,21.0207,53.1687,75.0602,1.1239,1.1239,0.0143,1.1386,1.1599,1.1268,1.1481,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_15_10415_2D.pdf,6.3700,0.0143
7,19787,16,aegis,2.1096,0.7545,0.9569,1.1576,3.3750,0.5256,7.4089,5.6786,6.5406,3.2705,6.3138,5.7936,2.4227,0.9995,0.7772,0.0518,0.9192,0.4424,1.2216,0.2544,2.7989,1.6724,0.6510,0.2753,5.9338,6.5147,6.2028,3.1919,8.7048,8.6478,3.9012,2.6883,3.7384,3.9773,2.5886,5.4404,2.5886,2,5.9338,1,1.1375,1.1646,0.9192,0.4424,1.2216,0.2544,-23.5751,0.4178,121064455681.6120,0.1874,54312240427.9771,95413104907.6326,95413104907.6326,5.6820,1.0000,0.4361,1.0000,0.4625,22.7486,21.0772,20.2549,19.8579,19.5158,22.6850,20.5849,19.0039,18.7164,21.3976,19.1022,-21.2651,2.4938,10.6300,-1.1500,-11.7800,8.6000,867.4331,1231.0143,1756.6460,477.7267,19.2480,19.4180,19.6309,21.6277,56.9534,65.1766,1.1812,1.1813,0.0118,1.1196,1.1608,1.1077,1.1486,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_16_19787_2D.pdf,6.4600,0.0118
8,30005,19,aegis,1.3058,0.2304,0.9731,0.6231,2.1500,0.2828,2.8374,0.5872,2.1800,0.5425,1.8684,0.8281,1.5841,0.5883,0.2593,0.0866,1.0864,0.4501,0.6285,0.2063,2.5334,0.9113,0.2114,0.1980,3.0428,0.9002,1.8666,0.8818,1.8685,0.9411,0.8056,0.6585,0.7219,0.9812,0.7448,0.7709,0.6585,2,1.8666,2,1.1414,1.1497,0.9731,0.4501,0.6231,0.2063,-20.7776,0.4033,8885544710.0419,0.1699,3743948894.2391,6854267470.3806,6854267470.3806,4.0670,1.0000,0.2776,1.0000,0.3134,23.5442,22.0176,21.3358,20.9973,20.6892,23.4660,21.5917,20.3457,20.0509,22.3014,20.3832,-19.1642,2.2084,9.6700,-1.4200,-11.0900,8.6000,416.0809,556.5064,788.7083,377.4049,20.4014,20.5078,20.6219,22.0904,29.5127,28.4537,1.1634,1.1636,0.0181,1.1384,1.1608,1.1348,1.1572,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_19_30005_2D.pdf,4.6900,0.0181
9,11221,28,aegis,2.0718,0.5966,1.0897,0.9753,2.0001,0.6629,9.0468,1.9248,6.0095,0.9069,6.8954,1.3514,2.1415,0.9493,0.6045,0.0426,0.9714,0.6165,1.0097,0.4839,2.1472,0.8563,0.6313,0.2271,8.9684,2.0049,6.8112,0.7531,8.4378,1.3691,2.5913,1.5602,1.9250,2.6109,1.6491,2.2321,1.5602,2,6.0095,2,1.1390,1.1603,1.0897,0.6165,0.9753,0.4839,-24.3098,0.3697,210721850225.9850,0.1874,106845925572.4500,187701730314.6630,187701730314.6630,11.8000,1.0000,0.4337,2.0000,-1.0000,21.7534,20.0510,19.2678,18.8901,18.5400,21.6881,19.5837,18.0577,17.7990,20.3743,18.1320,-22.2322,2.4856,10.9800,-0.8000,-11.7800,8.6000,764.4375,1869.2796,3111.0875,701.8828,18.2323,18.3843,18.5925,20.5908,41.5037,118.0182,1.1736,1.1737,0.0182,1.1226,1.1572,1.0975,1.1318,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_28_11221_2D.pdf,7.2800,0.0182
10,16063,28,aegis,0.9456,0.3276,1.0304,0.8135,0.8556,1.2686,12.4626,1.3734,5.3335,0.4639,6.7587,0.5840,1.4402,0.3960,0.4514,0.0604,1.0595,0.4193,0.8076,0.1632,0.8151,0.4211,1.2631,0.3918,9.0971,0.8122,5.2831,0.4937,13.5237,0.8117,3.0155,1.2368,1.5656,2.1186,1.2399,2.9780,1.2368,2,5.2831,2,1.1018,1.1132,1.0304,0.4193,0.8135,0.1632,-22.2700,0.3183,27721754901.1327,0.1874,16324385061.1684,28677886460.2228,28677886460.2228,7.2990,1.0000,0.2445,1.0000,0.2626,22.2500,20.5460,19.8046,19.4806,19.1714,22.1740,20.0776,18.6812,18.4467,20.8679,18.7333,-20.4054,2.4454,10.1400,-0.5800,-10.7200,8.2000,1029.0111,1863.9571,2915.4431,1100.0434,18.6808,18.8076,18.9566,20.4906,69.5529,102.3007,1.1297,1.1297,0.0075,1.1305,1.1596,1.1099,1.1388,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_28_16063_2D.pdf,5.5300,0.0075
11,14044,30,aegis,1.5856,0.4580,0.9994,0.8245,1.6445,0.6875,14.1802,3.8031,9.3577,2.8195,7.1989,3.6804,1.9559,0.9337,0.4548,0.0738,0.6603,0.5278,1.0606,0.4969,1.1818,0.8490,0.8008,0.4957,14.0946,5.1029,9.8825,1.5262,41.5572,4.5274,4.4027,3.0397,2.9939,4.9497,2.5808,10.0327,2.5808,2,7.1989,3,1.1206,1.1365,0.6603,0.5278,1.0606,0.4969,-24.1060,0.3183,150386680222.4880,0.1874,88557527644.9177,155573561483.8050,155573561483.8050,9.9350,1.0000,0.4360,1.0000,0.4616,21.6880,20.2066,19.4929,19.2018,18.8695,21.6147,19.7625,18.4193,18.2069,20.4894,18.4565,-22.0171,2.1950,10.7700,0.2300,-10.5400,8.6000,717.6717,2231.5792,2415.4950,621.6536,18.5769,18.7163,18.8954,20.7327,55.3274,93.0743,1.1580,1.1582,0.0157,1.1313,1.1608,1.1098,1.1388,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_aegis_30_14044_2D.pdf,5.8500,0.0157
12,19842,1,cosmos,2.3682,0.3140,1.1847,0.6373,1.1391,0.5819,1.9536,0.7847,1.9199,0.3429,2.3752,0.3191,2.7933,1.0378,0.3032,0.0473,1.2886,0.5002,0.6175,0.1659,1.2530,0.5319,0.5958,0.3498,4.7547,1.0872,1.8115,0.4563,4.3302,0.3452,0.7196,0.5215,0.5996,1.3947,0.5496,0.9905,0.5215,2,1.8115,2,1.0882,1.0989,1.1847,0.5002,0.6373,0.1659,-21.9061,0.3697,23026013258.2784,0.1874,11675275706.7473,11675275706.7473,11675275706.7473,8.8080,1.0000,0.2311,3.0000,-1.0000,21.9122,20.3485,19.6640,19.3200,19.0313,21.8373,19.9179,18.6334,18.4391,20.6332,18.7356,-20.4160,2.2482,9.9600,-29.1100,-39.0700,7.2000,836.3665,1432.7640,2117.0532,943.7546,18.6394,18.7274,18.8549,20.2571,66.4549,86.8883,1.1087,1.1087,0.0080,1.1309,1.1536,1.1116,1.1340,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_1_19842_2D.pdf,11.1300,0.0080
14,20423,1,cosmos,1.6907,0.4095,1.0252,0.7651,2.3500,0.3554,3.4794,0.5081,2.7335,0.4528,3.1548,0.6353,2.0380,0.7743,0.3911,0.0797,1.1226,0.4352,0.7433,0.1725,2.7419,1.0716,0.2831,0.2246,3.4520,0.6668,2.7684,0.4677,4.8082,0.8924,0.8960,0.7271,0.8881,0.9594,0.7404,1.3206,0.7271,2,2.7335,2,1.1130,1.1271,1.0252,0.4352,0.7651,0.1725,-22.7192,0.3183,41929022832.5646,0.1874,24690554995.4682,43375167281.7528,43375167281.7528,7.0570,1.0000,0.3540,1.0000,0.3540,22.4516,20.8279,20.0701,19.7175,19.4209,22.3887,20.3493,18.9759,18.7514,21.1403,19.0814,-20.9799,2.3814,10.3900,-14.4100,-24.8000,7.8000,610.2316,1202.3760,1710.0741,524.4343,19.0801,19.2079,19.3545,21.1170,48.4115,63.0886,1.1384,1.1383,0.0092,1.1324,1.1598,1.1194,1.1462,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_1_20423_2D.pdf,6.0200,0.0092
16,21966,1,cosmos,2.6682,0.2917,1.3084,0.5749,1.9500,0.4038,2.7831,0.5790,3.3000,0.2539,3.9016,0.1768,3.5055,1.1551,0.2502,0.0600,1.5562,0.5322,0.5220,0.1446,2.0107,0.8536,0.3596,0.2711,3.7536,0.8507,3.3189,0.4941,4.8299,0.1830,0.7915,0.7509,0.8343,1.0978,0.8587,1.0172,0.7509,2,2.7831,1,1.0878,1.0978,1.3084,0.5322,0.5749,0.1446,-21.7171,0.5063,26499313878.7491,0.3165,16567043590.3091,23476562108.4291,23476562108.4291,9.6420,1.0000,0.2225,1.0000,0.2225,22.0401,20.4810,19.7719,19.4327,19.1486,21.9689,20.0395,18.7631,18.5620,20.7721,18.8466,-20.2281,2.2682,10.0100,-2.4800,-12.4900,8.4000,595.0120,1317.1166,1806.9553,838.3451,18.7569,18.8387,18.9664,20.3838,39.7076,78.8577,1.1063,1.1063,0.0079,1.1286,1.1490,1.1062,1.1264,/Volumes/My Passport/TPAGB/outcome/plot/CN/20200705/CN_cosmos_1_21966_2D.pdf,6.3800,0.0079
